2.38288552706138e-14,1.38338254166701e-07,0.5
0.3303006,4.0626439,0.3303006
31,1001,31
9.04596712862271e-15,4.5191924517163e-08,9.04596712862271e-15
1.01305873012946e-15,2.40128401933459e-11,1
0.1172809,0.1082783,0.1127796
31,31,31
3.88096983324111e-16,7.84444236361178e-12,3.92241523029755e-12
5.75265876365364e-16,9.4976734039927e-16,1
0.5858353,0.4581486,0.52199195
31,31,31
2.24454845859688e-16,3.17499016340785e-16,2.70976931100237e-16
1.17122808904313e-10,2.00649616462611e-10,1
0.4429216,0.3174772,0.3801994
8,6,7
3.48680186702882e-09,1.5792256704725e-09,2.53301376875066e-09
2.55758420019745e-11,8.37521351512316e-10,1
0.0904127,0.0900951,0.0902539
15,14,14.5
3.28873578773494e-10,3.31782231316482e-09,1.82334794596916e-09
