3.59064058579337e-09,1.28791906016399e-09,1
0.2689814,0.248264,0.2586227
31,31,31
0.00386336414653408,0.00224657794694637,0.00305497104674023
3.64894590550291e-07,4.94390357755e-08,0
3.3703299,3.2889982,NaN
1001,1001,NaN
0.0038633641501026,0.00224657794700927,NaN
5.98972715735421e-09,7.01818244925262e-09,1
0.6190022,0.5405205,0.57976135
31,31,31
0.0038633641465347,0.00224657794694761,0.00305497104674115
7.55302231440018e-09,3.9311695296023e-11,1
0.3741705,0.3661231,0.3701468
7,7,7
0.00386336415092382,0.0022465779469467,0.00305497104893526
1.05019098953896e-10,3.53097443743438e-09,1
0.1065099,0.105125,0.10581745
17,17,17
0.00386336414653414,0.00224657794773462,0.00305497104713438
