3.76879660681508e-10,7.30441977642174e-08,1.24839189445554e-11,1.30103642901143e-09,5.05552392771313e-16,0.8
0.250432,0.2526001,0.2524804,0.4463513,0.2427987,0.2980156
31,32,31,31,32,31.25
1.27434540324665e-10,2.18568808817285e-08,5.518476154837e-12,6.26779837386028e-10,1.52883213071755e-16,1.89933251687186e-10
6.66313365289541e-16,6.93062203836904e-16,3.44308818950119e-16,4.84420491827863e-16,3.88278427498366e-11,1
0.1159794,0.1048083,0.1115612,0.1087329,0.1197322,0.1121628
31,31,31,31,31,31
2.32745274935249e-16,2.16989552693001e-16,1.59495815068064e-16,2.37730237455916e-16,1.1130875650289e-11,2.22634452223383e-12
5.24855102683787e-16,8.90434856777139e-16,5.14833295141966e-07,4.66747656247172e-16,2.50545321903352e-15,0.8
0.5872026,0.4769211,0.6630611,0.5471144,0.5573751,0.5421533
32,31,32,31,31,31.25
1.85490831510853e-16,2.72363704110554e-16,2.27580399666037e-07,2.29263943997886e-16,7.19777700722108e-16,3.5172404508535e-16
7.65880659712198e-10,1.43881156838201e-09,3.2861323695508e-11,2.37500474640957e-08,1.60729680990222e-11,0.8
0.3776788,0.3650911,0.4336537,180.0423829,0.3939328,0.3925891
7,7,8,3007,7,7.25
2.86379813509959e-08,1.36900585939793e-08,4.2634776751257e-09,6.37720408696163e-07,6.33823287897825e-11,1.16637249872227e-08
9.83238223688021e-11,7.53682416061607e-12,6.12725792214039e-09,6.00117393928649e-12,7.64015031050877e-11,1
0.1038308,0.0929346,0.0975277,0.1080421,0.0995059,0.10036822
18,16,17,16,15,16.4
2.32248359875944e-09,3.02131306247632e-11,2.20638724073338e-07,8.21700646725734e-11,1.85054359091515e-10,4.46517290452972e-08
